"HOOD.ID","AREA.NAME","Number.of.Collisions","Number.of.KSIs","Number.of.Deaths","Number.of.Collisions.at.Intersections","Number.of.Collisions.at.Non.Intersections","Number.of.Collisions.Involving.Seniors","Number.of.Collisions.Involving.Children","Number.of.Collisions.in.Daylight","Number.of.Collisions.Not.Daylight","Number.of.Collisions.in.Clear.Visibility","Number.of.Collisions.in.No.Clear.Visibility","Number.of.Collisions.on.Arterial.Roads","Number.of.Collisions.on.Non.arterial.Roads","Number.of..Pedestrian.Collisions","Number.of.Cyclist.Collisions","City.Grants.Funding..","Neighbourhood.Equity.Score","Salvation.Army.Donors","Walk.Score","Watermain.Breaks","Diversity.Index...2008","Voter.Turnout...2008","equity_check","walk_check","diversity_check","turnout_check","Number.of.Businesses","Child.Care.Spaces","Debt.Risk.Score","Home.Prices","Local.Employment","Social.Assistance.Recipients","businesses_check","childcare_check","homeprice_check","localemployment_check","socialasst_check","Total...In.LIM.AT","MOST.SPOKEN.NON.OFFICIAL.LANG","X2ND.MOST.SPOKEN.NON.OFFICIAL.LANG","X3RD.MOST.SPOKEN.NON.OFFICIAL.LANG","X..OFFICIAL.LANG.AT.HOME","X..NON.OFFICIAL.LANG.AT.HOME","language_check","Population.2016","Population.density.per.square.kilometre","Land.area.in.square.kilometres","Children..0.14.years.","Youth..15.24.years.","Working.Age..25.54.years.","Pre.retirement..55.64.years.","Seniors..65..years.","Older.Seniors..85..years.","X..Immigrants","X..Visible.Minority","Unemployment.rate","Commute.within.census.subdivision..CSD..of.residence","X..Commute.in.Car.truck","X..Commute.in.Public.transit","X..Commute.in.Walked","X..Commute.by.Bicycle","X..Commute.by.Other","Commuting.duration...Less.than.15.minutes","Commuting.duration...15.to.29.minutes","Commuting.duration...30.to.44.minutes","Commuting.duration...45.to.59.minutes","Commuting.duration...60.minutes.and.over","X..Time.leaving.for.work...Between.5.a.m..and.5.59.a.m.","X..Time.leaving.for.work...Between.6.a.m..and.6.59.a.m.","X..Time.leaving.for.work...Between.7.a.m..and.7.59.a.m.","X..Time.leaving.for.work...Between.8.a.m..and.8.59.a.m.","X..Time.leaving.for.work...Between.9.a.m..and.11.59.a.m.","X..Time.leaving.for.work...Between.12.p.m..and.4.59.a.m.","child_check","senior_check","minority_check","immigrants_check","commute_car_check","TTC.Stops","Traffic.Collisions","Road.Kilometres","Road.Volume","ttc_check","road_km_check","road_vol_check","collisions.per.road.km","ksi.per.road.km","deaths.per.road.km","collisions.per.100k","ksi.per.100k","deaths.per.100k","Number.of.NonKSIs","hinhoods_norm$composite_score"
"79","University (79)",313,23,2,224,89,15,10,222,91,273,40,284,29,108,205,208030,75.07,198,97,3,4.741803,24.7327,0,0,1,1,483,15,748,773920,10967,259,0,0,1,1,0,22.8,"Mandarin","Portuguese","Cantonese",0.84,0.16,0,7607,5395,1.41,0.07,0.2,0.47,0.09,0.17,0.04,0.3,0.33,8.3,0.91,0.19,0.36,0.27,0.16,0.16,0.19,0.37,0.27,0.09,0.07,0.01,0.06,0.19,0.33,0.26,0.15,0,1,0,0,0,45,86,15.59120246,0,0,0,0,20.0754239965145,1.47519090070234,0.128277469626291,11.4586075192627,0.842006303332405,0.0732179394202091,290,27.1801520236588
"8","Humber Heights-Westmount (8)",30,3,0,17,13,8,6,22,8,25,5,19,11,23,7,32400,56.13,595,58,31,4.855956,36.1911,1,1,0,0,82,140,753,491396,896,856,0,1,0,0,0,15.2,"Ukrainian","Spanish","Italian",0.7,0.3,1,10948,3981,2.75,0.13,0.1,0.35,0.14,0.28,0.09,0.46,0.27,7.4,0.73,0.69,0.28,0.01,0,0,0.08,0.32,0.29,0.14,0.17,0.05,0.14,0.28,0.23,0.15,0.15,0,1,0,1,1,58,54,25.33142639,7039,0,0,1,1.1842996733829,0.11842996733829,0,1.09826909130314,0.109826909130314,0,27,32.0273511915162
"80","Palmerston-Little Italy (80)",358,16,0,295,63,22,13,258,100,314,44,330,28,124,234,166598,72.19,218,95,3,4.922344,36.4518,0,0,0,0,521,159,742,781568,3262,665,0,1,1,0,0,13.8,"Portuguese","Cantonese","Italian",0.84,0.16,0,13826,9601,1.44,0.09,0.11,0.57,0.09,0.14,0.02,0.3,0.21,6.8,0.9,0.25,0.36,0.18,0.19,0.19,0.14,0.36,0.29,0.1,0.1,0.03,0.07,0.18,0.34,0.23,0.14,0,0,0,0,0,40,95,18.86810933,2291.666667,0,0,0,18.9738141611669,0.84799169435383,0,13.1060111562174,0.585743515361673,0,342,22.3537735035202
"81","Trinity-Bellwoods (81)",562,29,3,459,103,59,18,359,203,476,86,517,45,202,360,104565,60.09,195,94,4,4.395302,30.9212,0,0,1,1,715,332,742,723909,5380,1415,1,1,1,0,0,14.7,"Portuguese","Mandarin","Cantonese",0.73,0.27,0,16556,9570,1.73,0.11,0.1,0.56,0.1,0.14,0.02,0.36,0.3,6.1,0.91,0.29,0.32,0.21,0.17,0.17,0.14,0.37,0.29,0.1,0.09,0.03,0.07,0.19,0.35,0.22,0.14,0,0,0,0,0,41,156,26.77774476,4139.6,0,0,0,20.9875777455129,1.08298888722397,0.112033333161101,20.5742409770788,1.06166012159303,0.109826909130314,533,36.5261899200253
"82","Niagara (82)",532,30,0,443,89,19,11,343,189,454,78,455,77,228,304,486176,72.54,336,84,1,5.064208,34.1422,0,0,0,1,591,65,747,398281,15621,1246,1,0,0,1,0,13.8,"Spanish","Mandarin","Portuguese",0.9,0.1,0,31180,10156,3.07,0.07,0.08,0.75,0.06,0.05,0,0.3,0.35,4.5,0.85,0.35,0.33,0.24,0.06,0.06,0.12,0.35,0.33,0.12,0.08,0.02,0.08,0.23,0.38,0.18,0.11,0,0,0,0,0,64,312,19.53632815,5347.625,0,0,1,27.2313198219902,1.53560074184155,0,19.4759718857756,1.09826909130314,0,502,20.130242400944
"83","Dufferin Grove (83)",290,21,3,243,47,24,14,193,97,246,44,259,31,134,156,24065,66.79,132,90,1,4.996398,32.3442,0,0,0,1,375,80,721,502736,4072,1303,0,0,0,0,0,17.9,"Portuguese","Spanish","Cantonese",0.76,0.24,0,11785,8540,1.38,0.11,0.09,0.57,0.1,0.13,0.01,0.38,0.31,7.5,0.9,0.29,0.48,0.1,0.12,0.12,0.1,0.29,0.34,0.15,0.12,0.04,0.13,0.21,0.28,0.18,0.15,0,0,0,0,0,42,94,16.21458922,3287.2,0,0,0,17.8851277738382,1.29512994224346,0.185018563177637,10.6166012159303,0.768788363912196,0.109826909130314,269,32.535564508249
"84","Little Portugal (84)",314,25,4,262,52,30,18,209,105,268,46,283,31,130,184,52210,60.04,144,88,3,4.3379,31.0218,0,0,1,1,344,55,727,514960,2597,983,0,0,0,0,0,15.7,"Portuguese","Cantonese","Mandarin",0.81,0.19,0,15559,12859,1.21,0.09,0.1,0.6,0.09,0.12,0.02,0.32,0.28,6.4,0.88,0.32,0.38,0.15,0.14,0.14,0.12,0.33,0.31,0.13,0.11,0.03,0.1,0.19,0.3,0.23,0.16,0,0,0,0,0,22,122,17.38358577,6815.5,0,0,1,18.0630166960082,1.43813827197517,0.230102123516028,11.4952164889728,0.915224242752614,0.146435878840418,289,34.8467254918303
"85","South Parkdale (85)",352,26,6,270,82,29,18,224,128,295,57,315,37,184,168,196602,33.1,204,83,5,5.434838,38.0424,1,0,0,0,564,70,695,500054,7617,4473,1,0,0,0,1,30.4,"Tibetan","Tagalog","Polish",0.76,0.24,0,21849,9583,2.28,0.1,0.1,0.57,0.11,0.12,0.02,0.43,0.48,8.6,0.89,0.25,0.52,0.12,0.1,0.1,0.1,0.28,0.33,0.14,0.15,0.05,0.13,0.19,0.24,0.19,0.21,0,0,1,0,0,40,110,24.80493413,6156.444444,0,0,1,14.1907250450739,1.04817855446569,0.241887358722851,12.8863573379568,0.951833212462718,0.219653818260627,326,36.4507332331668
"86","Roncesvalles (86)",108,11,1,78,30,12,6,73,35,101,7,80,28,56,52,40000,64.95,238,91,0,5.011874,40.1122,0,0,0,0,540,150,741,581425,2885,2268,1,1,1,0,1,20,"Polish","Hungarian","Tibetan",0.85,0.15,0,14974,9851,1.52,0.15,0.09,0.53,0.11,0.11,0.01,0.3,0.26,6.7,0.88,0.35,0.39,0.1,0.15,0.15,0.11,0.29,0.32,0.15,0.12,0.03,0.1,0.21,0.31,0.19,0.16,1,0,0,0,0,41,139,19.20689115,4172,0,0,0,5.62298183274704,0.572711112594606,0.0520646465995097,3.95376872869129,0.40269866681115,0.0366089697101045,97,24.0920432358305
"87","High Park-Swansea (87)",338,25,3,247,91,40,30,252,86,293,45,288,50,188,150,53400,77.14,1091,79,5,4.861611,44.7865,0,0,0,0,448,229,770,622206,6594,1680,0,1,1,0,0,11.2,"Polish","Serbian","Ukrainian",0.89,0.11,0,23925,4893,4.89,0.15,0.09,0.48,0.12,0.16,0.03,0.28,0.19,6,0.81,0.47,0.4,0.05,0.07,0.07,0.09,0.25,0.37,0.19,0.1,0.03,0.1,0.27,0.33,0.17,0.11,1,1,0,0,0,77,291,47.64471023,4831.9,1,1,1,7.09417684289272,0.52471722210745,0.062966066652894,12.3738317620153,0.915224242752614,0.109826909130314,313,33.3198464903169
