"HOOD.ID","AREA.NAME","Number.of.Collisions","Number.of.KSIs","Number.of.Deaths","Number.of.Collisions.at.Intersections","Number.of.Collisions.at.Non.Intersections","Number.of.Collisions.Involving.Seniors","Number.of.Collisions.Involving.Children","Number.of.Collisions.in.Daylight","Number.of.Collisions.Not.Daylight","Number.of.Collisions.in.Clear.Visibility","Number.of.Collisions.in.No.Clear.Visibility","Number.of.Collisions.on.Arterial.Roads","Number.of.Collisions.on.Non.arterial.Roads","Number.of..Pedestrian.Collisions","Number.of.Cyclist.Collisions","City.Grants.Funding..","Neighbourhood.Equity.Score","Salvation.Army.Donors","Walk.Score","Watermain.Breaks","Diversity.Index...2008","Voter.Turnout...2008","equity_check","walk_check","diversity_check","turnout_check","Number.of.Businesses","Child.Care.Spaces","Debt.Risk.Score","Home.Prices","Local.Employment","Social.Assistance.Recipients","businesses_check","childcare_check","homeprice_check","localemployment_check","socialasst_check","Total...In.LIM.AT","MOST.SPOKEN.NON.OFFICIAL.LANG","X2ND.MOST.SPOKEN.NON.OFFICIAL.LANG","X3RD.MOST.SPOKEN.NON.OFFICIAL.LANG","X..OFFICIAL.LANG.AT.HOME","X..NON.OFFICIAL.LANG.AT.HOME","language_check","Population.2016","Population.density.per.square.kilometre","Land.area.in.square.kilometres","Children..0.14.years.","Youth..15.24.years.","Working.Age..25.54.years.","Pre.retirement..55.64.years.","Seniors..65..years.","Older.Seniors..85..years.","X..Immigrants","X..Visible.Minority","Unemployment.rate","Commute.within.census.subdivision..CSD..of.residence","X..Commute.in.Car.truck","X..Commute.in.Public.transit","X..Commute.in.Walked","X..Commute.by.Bicycle","X..Commute.by.Other","Commuting.duration...Less.than.15.minutes","Commuting.duration...15.to.29.minutes","Commuting.duration...30.to.44.minutes","Commuting.duration...45.to.59.minutes","Commuting.duration...60.minutes.and.over","X..Time.leaving.for.work...Between.5.a.m..and.5.59.a.m.","X..Time.leaving.for.work...Between.6.a.m..and.6.59.a.m.","X..Time.leaving.for.work...Between.7.a.m..and.7.59.a.m.","X..Time.leaving.for.work...Between.8.a.m..and.8.59.a.m.","X..Time.leaving.for.work...Between.9.a.m..and.11.59.a.m.","X..Time.leaving.for.work...Between.12.p.m..and.4.59.a.m.","child_check","senior_check","minority_check","immigrants_check","commute_car_check","TTC.Stops","Traffic.Collisions","Road.Kilometres","Road.Volume","ttc_check","road_km_check","road_vol_check","collisions.per.road.km","ksi.per.road.km","deaths.per.road.km","collisions.per.100k","ksi.per.100k","deaths.per.100k","Number.of.NonKSIs","hinhoods_norm$composite_score"
"88","High Park North (88)",117,11,3,84,33,21,18,80,37,97,20,93,24,69,48,41800,80.58,789,84,1,5.075945,41.8664,0,0,0,0,254,241,759,609689,2577,1054,0,1,1,0,0,16.5,"Russian","Polish","Spanish",0.83,0.17,0,22162,11726,1.89,0.13,0.09,0.53,0.12,0.14,0.02,0.35,0.24,7.1,0.83,0.34,0.55,0.05,0.05,0.05,0.07,0.22,0.4,0.2,0.1,0.03,0.1,0.27,0.31,0.16,0.13,0,0,0,0,0,61,145,23.63400611,2299.333333,0,0,0,4.95049376967433,0.465431038174509,0.126935737683957,4.28324945608223,0.40269866681115,0.109826909130314,106,29.502808310627
"89","Runnymede-Bloor West Village (89)",90,11,0,67,23,14,19,67,23,73,17,78,12,58,32,8670,85.85,427,81,0,4.720005,43.0176,0,0,1,0,334,220,777,666204,2421,251,0,1,1,0,0,6.7,"Ukrainian","Greek","Polish",0.92,0.08,0,10070,6333,1.59,0.2,0.1,0.46,0.12,0.12,0.02,0.23,0.16,5.1,0.8,0.48,0.41,0.05,0.06,0.06,0.08,0.19,0.38,0.24,0.11,0.02,0.09,0.3,0.37,0.13,0.09,1,0,0,0,0,55,102,19.86655409,2667.5,0,0,0,4.53022701331492,0.55369441273849,0,3.29480727390941,0.40269866681115,0,79,24.8906366571024
"9","Edenbridge-Humber Valley (9)",66,7,0,55,11,8,13,51,15,62,4,55,11,42,24,0,63.36,1192,49,22,4.856194,36.4241,0,1,0,0,153,30,761,873268,1334,751,0,0,1,0,0,9,"Ukrainian","Spanish","Italian",0.82,0.18,0,15535,2840,5.47,0.14,0.12,0.38,0.15,0.21,0.04,0.39,0.21,6.1,0.71,0.68,0.28,0.02,0.01,0.01,0.11,0.28,0.29,0.17,0.15,0.05,0.15,0.28,0.28,0.12,0.12,0,1,0,0,1,63,150,44.71755334,4880.25,0,1,1,1.4759304807708,0.156538081293873,0,2.4161920008669,0.256262787970732,0,59,27.0720852422874
"90","Junction Area (90)",213,17,3,157,56,19,20,144,69,185,28,190,23,110,103,12000,64.27,282,83,1,5.118478,37.1691,0,0,0,0,631,30,733,532997,6528,1155,1,0,0,0,0,13.3,"Portuguese","Vietnamese","Spanish",0.84,0.16,0,14366,5442,2.64,0.15,0.1,0.52,0.12,0.1,0.01,0.32,0.3,5.6,0.85,0.41,0.44,0.07,0.07,0.07,0.1,0.2,0.34,0.22,0.13,0.04,0.11,0.27,0.29,0.17,0.12,1,0,0,0,0,93,146,26.82264851,5993.6,1,0,1,7.94105026282507,0.633792743981344,0.111845778349649,7.79771054825227,0.622352485071777,0.109826909130314,196,27.6433826843773
"91","Weston-Pellam Park (91)",117,11,2,98,19,17,26,86,31,98,19,100,17,73,44,84270,40.47,83,75,4,4.626214,36.0791,1,0,1,0,178,84,698,382119,1214,1754,0,0,0,0,0,20.5,"Portuguese","Spanish","Vietnamese",0.68,0.32,1,11098,7601,1.46,0.15,0.13,0.48,0.13,0.12,0.01,0.48,0.38,8.5,0.88,0.48,0.42,0.04,0.04,0.04,0.08,0.2,0.34,0.18,0.19,0.09,0.17,0.23,0.23,0.11,0.18,1,0,0,1,0,32,104,16.90758145,2896.8,0,0,0,6.91997257833704,0.650595712493226,0.118290129544223,4.28324945608223,0.40269866681115,0.0732179394202091,106,35.372714493179
"92","Corso Italia-Davenport (92)",175,17,3,137,38,30,21,125,50,150,25,153,22,121,54,0,54.03,136,79,3,4.425372,36.7577,1,0,1,0,420,105,708,502819,2111,1294,0,0,0,0,0,13.5,"Portuguese","Italian","Spanish",0.69,0.31,1,14133,7478,1.89,0.14,0.11,0.49,0.12,0.14,0.02,0.43,0.25,7.2,0.85,0.48,0.42,0.05,0.05,0.05,0.07,0.21,0.36,0.18,0.17,0.07,0.14,0.24,0.25,0.15,0.14,0,0,0,0,0,73,124,22.3904709,3832.833333,1,0,0,7.81582490076169,0.759251561788278,0.133985569727343,6.4065696992683,0.622352485071777,0.109826909130314,158,35.9110233701344
"93","Dovercourt-Wallace Emerson-Junction (93)",459,26,4,356,103,40,39,331,128,394,65,389,70,201,258,97970,57.09,409,88,8,4.98361,33.948,1,0,0,1,890,179,719,512789,5077,3563,1,1,0,0,1,17.1,"Portuguese","Cantonese","Spanish",0.74,0.26,0,36625,9819,3.73,0.12,0.11,0.54,0.11,0.12,0.02,0.4,0.34,7.2,0.89,0.35,0.47,0.06,0.1,0.1,0.08,0.28,0.35,0.16,0.13,0.05,0.13,0.21,0.28,0.18,0.16,0,0,0,0,0,137,286,47.68163149,3898.416667,1,1,0,9.62634846285122,0.545283355194187,0.0838897469529518,16.803517096938,0.951833212462718,0.146435878840418,433,35.5637899433345
"94","Wychwood (94)",203,25,3,165,38,30,10,142,61,178,25,186,17,98,105,24000,65.46,466,86,3,5.14814,44.1965,0,0,0,0,379,84,745,656868,5143,911,0,0,1,0,0,16.6,"Portuguese","Cantonese","Greek",0.82,0.18,0,14349,8541,1.68,0.13,0.09,0.45,0.11,0.22,0.06,0.33,0.27,5.2,0.89,0.36,0.46,0.08,0.09,0.09,0.09,0.31,0.36,0.14,0.11,0.04,0.11,0.22,0.31,0.19,0.13,0,1,0,0,0,62,75,22.11651935,3112.5,0,0,0,9.17865948015911,1.13037678327083,0.135645213992499,7.43162085115122,0.915224242752614,0.109826909130314,178,35.4767155531118
"95","Annex (95)",500,36,3,381,119,53,17,355,145,423,77,423,77,255,245,553355,78.6,1401,94,11,4.951476,37.4325,0,0,0,0,2328,201,755,993491,25719,1150,1,1,1,1,0,18.3,"Mandarin","Cantonese","Korean",0.9,0.1,0,30526,10863,2.81,0.08,0.12,0.49,0.11,0.19,0.03,0.29,0.25,6.7,0.92,0.24,0.42,0.21,0.11,0.11,0.16,0.42,0.27,0.09,0.06,0.02,0.06,0.19,0.39,0.23,0.12,0,1,0,0,0,120,331,39.47685229,5810.5,1,1,1,12.6656501467483,0.911926810565879,0.0759939008804899,18.3044848550523,1.31792290956376,0.109826909130314,464,32.4065652722244
"96","Casa Loma (96)",155,14,1,125,30,16,7,119,36,130,25,122,33,67,88,28600,82.31,714,80,3,4.731636,38.1693,0,0,1,0,258,142,771,1083381,3283,189,0,1,1,0,0,12.7,"Spanish","Mandarin","Cantonese",0.93,0.07,0,10968,5683,1.93,0.11,0.1,0.42,0.13,0.24,0.04,0.27,0.17,6.6,0.92,0.43,0.39,0.12,0.04,0.04,0.13,0.39,0.33,0.11,0.04,0.01,0.06,0.24,0.37,0.23,0.1,0,1,0,0,0,45,116,22.99642277,3815.5,0,0,0,6.7401787465051,0.608790338394009,0.0434850241710007,5.67439030506621,0.512525575941464,0.0366089697101045,141,26.0321367249827
"97","Yonge-St.Clair (97)",137,9,2,103,34,22,7,103,34,110,27,119,18,79,58,6500,80.99,1126,84,0,4.579535,39.3099,0,0,1,0,468,20,771,995616,7858,283,0,0,1,0,0,12.9,"Spanish","Persian","Russian",0.92,0.08,0,12528,10708,1.17,0.1,0.07,0.48,0.12,0.23,0.04,0.29,0.21,5.9,0.92,0.35,0.5,0.11,0.02,0.02,0.12,0.36,0.35,0.1,0.07,0.03,0.07,0.27,0.37,0.18,0.09,0,1,0,0,0,28,99,12.83543094,7116,0,0,1,10.6735800800468,0.701184092849788,0.155818687299953,5.01542885028432,0.329480727390941,0.0732179394202091,128,29.5573126253242
"98","Rosedale-Moore Park (98)",159,11,4,111,48,18,15,117,42,139,20,118,41,72,87,38672,83.78,2101,84,8,4.497581,38.2953,0,0,1,0,683,162,777,1265389,19160,499,1,1,1,1,0,10.2,"Mandarin","Spanish","Persian",0.93,0.07,0,20923,4500,4.65,0.13,0.1,0.38,0.14,0.25,0.04,0.27,0.18,6,0.92,0.41,0.39,0.13,0.04,0.04,0.17,0.43,0.25,0.08,0.07,0.01,0.08,0.26,0.39,0.18,0.08,0,1,0,0,0,91,305,48.24002744,3646.62069,1,1,0,3.29601802564812,0.228026404290122,0.0829186924691351,5.82082618390662,0.40269866681115,0.146435878840418,148,27.53208606103
"99","Mount Pleasant East (99)",101,8,1,82,19,19,16,76,25,83,18,80,21,66,35,3500,86.04,1297,88,1,4.528641,40.1053,0,0,1,0,463,82,777,815247,4741,288,0,0,1,0,0,10.3,"Spanish","Persian","Serbian",0.91,0.09,0,16775,5411,3.1,0.18,0.1,0.45,0.12,0.15,0.02,0.27,0.23,6.9,0.88,0.5,0.37,0.09,0.03,0.03,0.12,0.3,0.36,0.14,0.08,0.02,0.08,0.3,0.37,0.14,0.08,1,0,0,0,0,58,218,28.31337044,5380.714286,0,0,1,3.56721924767075,0.282552019617485,0.0353190024521856,3.69750594072056,0.292871757680836,0.0366089697101045,93,26.6206687473524
