"Neighbourhood","Neighbourhood Id","Number of Businesses","Child Care Spaces","Debt Risk Score","Home Prices","Local Employment","Social Assistance Recipients","businesses_check","childcare_check","homeprice_check","localemployment_check","socialasst_check"
"West Humber-Clairville",1,2463,195,719,317508,58271,2912,1,1,0,1,1
"Mount Olive-Silverstone-Jamestown",2,271,60,687,251119,3244,6561,0,0,0,0,1
"Thistletown-Beaumond Heights",3,217,25,718,414216,1311,1276,0,0,0,0,0
"Rexdale-Kipling",4,144,75,721,392271,1178,1323,0,0,0,0,0
"Elms-Old Rexdale",5,67,60,692,233832,903,1683,0,0,0,0,0
"Kingsview Village-The Westway",6,160,129,717,292861,2799,4348,0,1,0,0,1
"Willowridge-Martingrove-Richview",7,169,165,750,511637,1843,2032,0,1,0,0,1
"Humber Heights-Westmount",8,82,140,753,491396,896,856,0,1,0,0,0
"Edenbridge-Humber Valley",9,153,30,761,873268,1334,751,0,0,1,0,0
"Princess-Rosethorn",10,74,367,791,971668,1226,299,0,1,1,0,0
"Eringate-Centennial-West Deane",11,229,172,775,423034,3472,775,0,1,0,0,0
"Markland Wood",12,106,105,783,505350,1494,239,0,0,0,0,0
"Etobicoke West Mall",13,146,60,738,298426,4340,1091,0,0,0,0,0
"Islington-City Centre West",14,2263,204,755,491678,45794,2534,1,1,0,1,1
"Kingsway South",15,195,115,793,941223,2335,74,0,0,1,0,0
"Stonegate-Queensway",16,595,283,760,690949,5932,1593,1,1,1,0,0
"Mimico",17,619,195,741,429941,11549,2634,1,1,0,1,1
"New Toronto",18,368,90,719,460811,5289,1600,0,0,0,0,0
"Long Branch",19,170,54,724,459088,1143,1024,0,0,0,0,0
"Alderwood",20,309,120,764,504233,4839,516,0,0,0,0,0
"Humber Summit",21,1373,53,715,354381,17950,1659,1,0,0,1,0
"Humbermede",22,374,55,695,314721,5799,2590,0,0,0,0,1
"Pelmo Park-Humberlea",23,152,0,735,412618,2855,798,0,0,0,0,0
"Black Creek",24,306,175,661,235143,3856,6408,0,1,0,0,1
"Glenfield-Jane Heights",25,587,173,678,304262,8323,7263,1,1,0,0,1
"Downsview-Roding-CFB",26,985,238,692,400486,20150,5618,1,1,0,1,1
"York University Heights",27,2643,156,698,359372,42885,4720,1,1,0,1,1
"Rustic",28,48,26,692,493442,550,1924,0,0,0,0,1
"Maple Leaf",29,47,90,721,540741,737,919,0,0,0,0,0
"Brookhaven-Amesbury",30,466,54,687,352428,4825,3420,0,0,0,0,1
"Yorkdale-Glen Park",31,1468,82,729,421045,24685,1502,1,0,0,1,0
"Englemount-Lawrence",32,175,105,730,577889,3495,2733,0,0,1,0,1
"Clanton Park",33,357,130,740,605585,5011,734,0,1,1,0,0
"Bathurst Manor",34,244,105,745,568877,3370,1018,0,0,1,0,0
"Westminster-Branson",35,83,45,730,372380,3027,2906,0,0,0,0,1
"Newtonbrook West",36,483,98,737,557468,9091,2124,0,0,1,0,1
"Willowdale West",37,363,248,766,541247,7110,515,0,1,0,0,0
"Lansing-Westgate",38,488,75,758,646460,12254,468,0,0,1,1,0
"Bedford Park-Nortown",39,676,60,776,1191040,8187,484,1,0,1,0,0
"St.Andrew-Windfields",40,591,124,774,1363202,13023,606,1,0,1,1,0
"Bridle Path-Sunnybrook-York Mills",41,58,0,788,1849084,11756,37,0,0,1,1,0
"Banbury-Don Mills",42,834,255,776,613647,25614,1030,1,1,1,1,0
"Victoria Village",43,431,134,730,365107,7035,2593,0,1,0,0,1
"Flemingdon Park",44,185,203,721,204104,5088,4348,0,1,0,0,1
"Parkwoods-Donalda",45,209,441,731,553698,2802,3664,0,1,1,0,1
"Pleasant View",46,124,90,767,463859,1162,791,0,0,0,0,0
"Don Valley Village",47,373,229,756,478489,5640,2137,0,1,0,0,1
"Hillcrest Village",48,424,180,775,484743,11806,694,0,1,0,1,0
"Bayview Woods-Steeles",49,93,180,777,784397,2207,666,0,1,1,0,0
"Newtonbrook East",50,400,30,757,626626,4357,685,0,0,1,0,0
"Willowdale East",51,849,209,759,540911,16026,1189,1,1,0,1,0
"Bayview Village",52,460,60,768,533089,9377,626,0,0,0,0,0
"Henry Farm",53,717,105,736,372110,18728,1502,1,0,0,1,0
"O'Connor-Parkview",54,346,75,725,538203,4677,2984,0,0,0,0,1
"Thorncliffe Park",55,449,21,724,313618,9847,3818,0,0,0,1,1
"Leaside-Bennington",56,313,274,791,1071823,2901,239,0,1,1,0,0
"Broadview North",57,129,57,728,518555,1286,1306,0,0,0,0,0
"Old East York",58,134,88,756,581398,1017,569,0,0,1,0,0
"Danforth-East York",59,167,214,763,518568,3715,1049,0,1,0,0,0
"Woodbine-Lumsden",60,56,95,748,440700,558,582,0,0,0,0,0
"Taylor-Massey",61,157,60,721,254151,1399,2635,0,0,0,0,1
"East End-Danforth",62,516,330,741,535867,3636,1901,0,1,0,0,1
"The Beaches",63,531,167,764,751945,5694,672,0,1,1,0,0
"Woodbine Corridor",64,146,214,749,521549,1896,906,0,1,0,0,0
"Greenwood-Coxwell",65,315,94,738,490920,2342,1762,0,0,0,0,0
"Danforth",66,414,152,755,585093,2786,626,0,1,1,0,0
"Playter Estates-Danforth",67,301,162,757,842668,2243,288,0,1,1,0,0
"North Riverdale",68,327,233,767,818592,4033,503,0,1,1,0,0
"Blake-Jones",69,133,30,739,571246,1789,1021,0,0,1,0,0
"South Riverdale",70,1197,224,746,537087,12378,2695,1,1,0,1,1
"Cabbagetown-South St.James Town",71,290,0,744,537025,2513,986,0,0,0,0,0
"Regent Park",72,143,30,701,484444,1931,2491,0,0,0,0,1
"Moss Park",73,841,110,709,457524,12051,3510,1,0,0,1,1
"North St.James Town",74,243,55,705,489366,6705,2681,0,0,0,0,1
"Church-Yonge Corridor",75,2443,45,736,410703,54044,3090,1,0,0,1,1
"Bay Street Corridor",76,4324,30,755,457787,185891,678,1,0,0,1,0
"Waterfront Communities-The Island",77,2899,130,748,416759,88058,2864,1,1,0,1,1
"Kensington-Chinatown",78,1883,247,728,477989,37205,2523,1,1,0,1,1
"University",79,483,15,748,773920,10967,259,0,0,1,1,0
"Palmerston-Little Italy",80,521,159,742,781568,3262,665,0,1,1,0,0
"Trinity-Bellwoods",81,715,332,742,723909,5380,1415,1,1,1,0,0
"Niagara",82,591,65,747,398281,15621,1246,1,0,0,1,0
"Dufferin Grove",83,375,80,721,502736,4072,1303,0,0,0,0,0
"Little Portugal",84,344,55,727,514960,2597,983,0,0,0,0,0
"South Parkdale",85,564,70,695,500054,7617,4473,1,0,0,0,1
"Roncesvalles",86,540,150,741,581425,2885,2268,1,1,1,0,1
"High Park-Swansea",87,448,229,770,622206,6594,1680,0,1,1,0,0
"High Park North",88,254,241,759,609689,2577,1054,0,1,1,0,0
"Runnymede-Bloor West Village",89,334,220,777,666204,2421,251,0,1,1,0,0
"Junction Area",90,631,30,733,532997,6528,1155,1,0,0,0,0
"Weston-Pellam Park",91,178,84,698,382119,1214,1754,0,0,0,0,0
"Corso Italia-Davenport",92,420,105,708,502819,2111,1294,0,0,0,0,0
"Dovercourt-Wallace Emerson-Juncti",93,890,179,719,512789,5077,3563,1,1,0,0,1
"Wychwood",94,379,84,745,656868,5143,911,0,0,1,0,0
"Annex",95,2328,201,755,993491,25719,1150,1,1,1,1,0
"Casa Loma",96,258,142,771,1083381,3283,189,0,1,1,0,0
"Yonge-St.Clair",97,468,20,771,995616,7858,283,0,0,1,0,0
"Rosedale-Moore Park",98,683,162,777,1265389,19160,499,1,1,1,1,0
"Mount Pleasant East",99,463,82,777,815247,4741,288,0,0,1,0,0
"Yonge-Eglinton",100,690,45,759,975449,11746,189,1,0,1,1,0
"Forest Hill South",101,175,30,775,1585984,1945,134,0,0,1,0,0
"Forest Hill North",102,144,110,749,957688,897,633,0,0,1,0,0
"Lawrence Park South",103,167,140,784,1215390,1634,240,0,1,1,0,0
"Mount Pleasant West",104,1129,255,753,520032,13311,1343,1,1,0,1,0
"Lawrence Park North",105,381,212,790,980831,3624,166,0,1,1,0,0
"Humewood-Cedarvale",106,139,108,747,800442,1345,698,0,0,1,0,0
"Oakwood Village",107,255,168,713,482040,1573,2412,0,1,0,0,1
"Briar Hill-Belgravia",108,477,25,719,373937,3446,1432,0,0,0,0,0
"Caledonia-Fairbank",109,92,75,700,400532,944,1153,0,0,0,0,0
"Keelesdale-Eglinton West",110,266,25,707,373029,1644,1653,0,0,0,0,0
"Rockcliffe-Smythe",111,314,110,710,353967,3345,3422,0,0,0,0,1
"Beechborough-Greenbrook",112,128,22,677,440179,4140,1478,0,0,0,0,0
"Weston",113,536,157,679,280187,4578,4149,0,1,0,0,1
"Lambton Baby Point",114,66,19,749,806452,438,1049,0,0,1,0,0
"Mount Dennis",115,184,109,680,273418,2198,2937,0,0,0,0,1
"Steeles",116,237,105,778,440688,5835,1549,0,0,0,0,0
"L'Amoreaux",117,443,126,758,355438,4734,3848,0,1,0,0,1
"Tam O'Shanter-Sullivan",118,343,192,756,411143,3882,1973,0,1,0,0,1
"Wexford/Maryvale",119,945,140,735,422689,16717,3014,1,1,0,1,1
"Clairlea-Birchmount",120,831,84,741,387912,15391,2688,1,0,0,1,1
"Oakridge",121,201,54,704,347446,1768,2967,0,0,0,0,1
"Birchcliffe-Cliffside",122,345,110,747,522905,3228,1789,0,0,0,0,0
"Cliffcrest",123,200,70,748,542218,2132,1342,0,0,0,0,0
"Kennedy Park",124,261,82,729,293600,1824,2583,0,0,0,0,1
"Ionview",125,148,45,712,330109,1003,1675,0,0,0,0,0
"Dorset Park",126,969,52,727,279189,12722,2803,1,0,0,1,1
"Bendale",127,853,200,738,329355,17680,2729,1,1,0,1,1
"Agincourt South-Malvern West",128,1378,135,756,332710,18329,1542,1,1,0,1,0
"Agincourt North",129,353,130,765,375307,7449,1930,0,1,0,0,1
"Milliken",130,2090,220,770,387879,16901,1921,1,1,0,1,1
"Rouge",131,877,210,738,426850,14207,2994,1,1,0,1,1
"Malvern",132,625,81,724,256488,11173,5078,1,0,0,1,1
"Centennial Scarborough",133,126,80,774,491024,951,399,0,0,0,0,0
"Highland Creek",134,91,110,751,529278,1798,724,0,0,0,0,0
"Morningside",135,108,28,711,289646,3566,2534,0,0,0,0,1
"West Hill",136,424,153,706,308229,4500,4974,0,1,0,0,1
"Woburn",137,1073,214,723,316584,16190,6747,1,1,0,1,1
"Eglinton East",138,296,143,705,274020,2351,4171,0,1,0,0,1
"Scarborough Village",139,228,217,699,356096,1851,4133,0,1,0,0,1
"Guildwood",140,67,171,774,444309,924,309,0,1,0,0,0
